iter	RMSE
263	4.362957898
264	4.361015984
265	4.354238427
266	4.348911684
267	4.344935197
268	4.343002111
269	4.338898061
270	4.33403675
271	4.330019784
272	4.327681176
273	4.322759997
274	4.319914059
275	4.316218296
276	4.313263492
277	4.307901769
278	4.302607807
279	4.298730263
280	4.296194488
281	4.294762805
282	4.291877617
283	4.287285903
284	4.285813474
285	4.282426151
286	4.277853393
287	4.273269984
288	4.268134186
289	4.264297521
290	4.262229535
291	4.260399282
292	4.257624769
293	4.252585
294	4.244364894
295	4.240529009
296	4.234019505
297	4.229152854
298	4.227613555
299	4.22332046
300	4.219387168
301	4.210104361
302	4.204903447
303	4.202803183
304	4.199033612
305	4.195619638
306	4.192025684
307	4.188554486
308	4.184259848
309	4.18111891
310	4.178174189
311	4.176250054
312	4.175790467
313	4.171401662
314	4.168641218
315	4.167386577
316	4.164802478
317	4.162312973
318	4.161922977
319	4.159151119
320	4.158857983
321	4.155275015
322	4.151783101
323	4.149335837
324	4.146777306
325	4.142886618
326	4.139443048
327	4.138645326
328	4.135521819
329	4.13027581
330	4.12622255
331	4.122811379
332	4.122140004
333	4.120970747
334	4.119933311
335	4.119623728
336	4.113330115
337	4.10895988
338	4.106518691
339	4.106133097
340	4.10361115
341	4.10288997
342	4.09500062
343	4.090039761
344	4.085494779
345	4.076238606
346	4.069655052
347	4.068928157
348	4.067903013
349	4.067041315
350	4.065933866
351	4.063904074
352	4.063735478
353	4.059973683
354	4.058707756
355	4.054094549
356	4.051295857
357	4.046986136
358	4.042621836
359	4.042047643
360	4.040479722
361	4.037484981
362	4.0359034
363	4.03135839
364	4.029153127
365	4.026428231
366	4.023753542
367	4.020483095
368	4.018797271
369	4.012118059
370	4.009865999
371	4.006017793
372	4.003180778
373	4.001923762
374	3.999583432
375	3.996869595
376	3.9945468
377	3.988403011
378	3.985226775
379	3.981906679
380	3.977923498
381	3.977326288
382	3.97476173
383	3.971774095
384	3.9693962
385	3.966071927
386	3.964895649
387	3.962689833
388	3.9624847
389	3.957972207
390	3.950557746
391	3.947734179
392	3.944183891
393	3.942074353
394	3.939278592
395	3.93545858
396	3.934499508
397	3.92920811
398	3.925171747
399	3.918756399
400	3.917363547
401	3.913046751
402	3.912356975
403	3.9073781
404	3.901339666
405	3.897323197
406	3.893499468
407	3.892231765
408	3.887510366
409	3.882012609
410	3.879086197
411	3.873900232
412	3.873695701
413	3.87205699
414	3.865824402
415	3.86411288
416	3.863844178
417	3.863660308
418	3.858696654
419	3.854549921
420	3.853576047
421	3.851262865
422	3.849811659
423	3.843928143
424	3.840607725
425	3.840239108
426	3.836351254
427	3.832985458
428	3.829787226
429	3.827399136
430	3.824645016
431	3.821909313
432	3.8179365
433	3.817437016
434	3.811505648
435	3.808620688
436	3.807752991
437	3.802128182
438	3.798975059
439	3.795753923
440	3.792906722
441	3.789411261
442	3.78156124
443	3.776412875
444	3.771262995
445	3.765713135
446	3.763788793
447	3.76191299
448	3.757848385
449	3.753611749
450	3.753375811
451	3.752875294
452	3.752645394
453	3.75228801
454	3.750063683
455	3.747377713
456	3.74503088
457	3.739882241
458	3.735076206
459	3.732744345
460	3.728246035
461	3.72399595
462	3.722044439
463	3.718539557
464	3.716853109
465	3.713658012
466	3.710530922
467	3.708503339
468	3.706393821
469	3.702872721
470	3.700946376
471	3.696019184
472	3.695486686
473	3.694738228
474	3.690112915
475	3.688557915
476	3.68828951
477	3.684453238
478	3.682923781
479	3.681198897
480	3.67776355
481	3.675113997
482	3.671522455
483	3.670895301
484	3.666454708
485	3.665388247
486	3.660653041
487	3.659848104
488	3.658537494
489	3.653961197
490	3.650217259
491	3.649725821
492	3.647289654
493	3.644087181
494	3.640230331
495	3.637262624
496	3.636131934
497	3.634962165
498	3.631552756
499	3.630920138
